Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
55463950,"Koniec świata, umyj okna",Agnieszka Jelonek,"Jelonek, Agnieszka",,"=""""","=""9788395783814""",0,3.82,Wydawnictwo Cyranka,,104,2020,,,2021/01/23,"to-read, zdrowie-psychika-ciało","to-read (#1706), zdrowie-psychika-ciało (#29)",to-read,,,,0,,,0,,,,,
29087477,Korozja charakteru: Osobiste konsekwencje pracy w nowym kapitaliźmie (Spectrum),Richard Sennett,"Sennett, Richard","Jan Dzierzgowski, Łukasz Mikołajewski","=""8374950137""","=""""",0,3.92,Muza,Paperback,232,2006,1996,,2021/01/23,"to-read, publicystyka, usa","to-read (#1705), publicystyka (#25), usa (#28)",to-read,,,,0,,,0,,,,,
16197150,Angry White Men: American Masculinity at the End of an Era,Michael S. Kimmel,"Kimmel, Michael S.",,"=""1568586965""","=""9781568586960""",0,3.78,Nation Books,Hardcover,336,2013,2013,,2021/01/23,"to-read, usa","to-read (#1704), usa (#27)",to-read,,,,0,,,0,,,,,
51924139,"Warszawianka (Warszawianka, #1)",Ida Żmiejewska,"Żmiejewska, Ida",,"=""8366195198""","=""9788366195196""",0,3.78,Skarpa Warszawska,Paperback,415,2019,2019,,2021/01/23,to-read,to-read (#1703),to-read,,,,0,,,0,,,,,
29849487,Filozofia Chodzenia,Frédéric Gros,"Gros, Frédéric",,"=""""","=""9788380151970""",0,3.76,Czarna Owca,Paperback,240,2015,2009,,2021/01/23,to-read,to-read (#1702),to-read,,,,0,,,0,,,,,
25387807,Inventing the Future: Postcapitalism and a World Without Work,Nick Srnicek,"Srnicek, Nick",Alex Williams,"=""1784780960""","=""9781784780968""",0,4.01,Verso,Paperback,245,2015,2015,,2021/01/23,"to-read, publicystyka","to-read (#1701), publicystyka (#24)",to-read,,,,0,,,0,,,,,
56231120,Miasto życzliwe. Jak kształtować miasto z troską o wszystkich,David    Sim,"Sim, David","Weronika Mincer, Klementyna Dec, Jan Gehl, Joanna Erbel","=""""","=""9788395680274""",0,4.47,Wysoki Zamek,Paperback,276,2020,2019,,2021/01/22,"to-read, urbanistyka","to-read (#1700), urbanistyka (#22)",to-read,,,,0,,,0,,,,,
50497991,Cztery ściany i dach. Złożona natura prostej profesji,Reinier de Graaf,"Graaf, Reinier de",Grzegorz Piątek,"=""8363786195""","=""9788363786199""",0,4.18,Instytut Architektury / Narodowy Instytut Architektury i Urbanistyki,Hardcover,495,2019,2017,,2021/01/22,"to-read, urbanistyka","to-read (#1699), urbanistyka (#21)",to-read,,,,0,,,0,,,,,
55680609,Piknik na skraju drogi i inne utwory,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Rafał Dębski, Irena Piotrowska, Irena Lewandowska, Ewa Skórska","=""8381693772""","=""9788381693776""",0,4.00,Prószyński i S-ka,Hardcover,912,2021,2021,,2021/01/22,to-read,to-read (#1698),to-read,,,,0,,,0,,,,,
50613874,RuRu,Joanna Rudnianska,"Rudnianska, Joanna",,"=""""","=""9788362795963""",0,4.19,Wydawnictwo Nisza,Paperback,183,2019,2019,,2020/03/10,"to-read, owned, woblink, fiction","to-read (#869), owned (#733), woblink (#253), fiction (#21)",to-read,,,,0,,,0,,,,,
84525,What Got You Here Won't Get You There: How Successful People Become Even More Successful,Marshall Goldsmith,"Goldsmith, Marshall",Mark Reiter,"=""""","=""9781781251560""",0,3.97,Hyperion,Hardcover,256,2007,2006,,2021/01/20,"to-read, growth","to-read (#1697), growth (#45)",to-read,,,,0,,,0,,,,,
34921573,Lost Connections: Uncovering the Real Causes of Depression - and the Unexpected Solutions,Johann Hari,"Hari, Johann",,"=""163286830X""","=""9781632868305""",0,4.29,Bloomsbury USA,Hardcover,322,2018,2018,,2021/01/20,"to-read, zdrowie-psychika-ciało","to-read (#1696), zdrowie-psychika-ciało (#28)",to-read,,,,0,,,0,,,,,
56241147,Matka wszystkich pytań,Rebecca Solnit,"Solnit, Rebecca",Barbara Kopeć-Umiastowska,"=""""","=""9788366147669""",0,4.24,Wydawnictwo Karakter,Paperback,230,2021,2017,,2021/01/19,"to-read, women","to-read (#1695), women (#106)",to-read,,,,0,,,0,,,,,
33360614,Przebudzenie. Duchowość bez religii,Sam Harris,"Harris, Sam",Jacek Żuławnik,"=""""","=""9788375794434""",0,3.91,Wydawnictwo Galaktyka,Paperback,260,2015,2014,,2021/01/17,"to-read, zdrowie-psychika-ciało","to-read (#1694), zdrowie-psychika-ciało (#27)",to-read,,,,0,,,0,,,,,
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""""","=""""",0,4.28,Riverhead Books,Hardcover,343,2020,2020,,2021/01/17,"to-read, fiction","to-read (#1693), fiction (#20)",to-read,,,,0,,,0,,,,,
42729353,The War for Kindness: Building Empathy in a Fractured World,Jamil Zaki,"Zaki, Jamil",,"=""0451499247""","=""9780451499240""",0,4.04,Crown Publishing Group (NY),Hardcover,272,2019,,,2021/01/17,"to-read, growth, zdrowie-psychika-ciało","to-read (#1692), growth (#44), zdrowie-psychika-ciało (#26)",to-read,,,,0,,,0,,,,,
49539652,Poniemieckie,Karolina Kuszyk,"Kuszyk, Karolina",,"=""""","=""9788380499416""",0,4.09,Czarne,Paperback,464,2019,2019,,2020/04/16,"to-read, reportaże-biografie, owned, woblink","to-read (#1020), reportaże-biografie (#15), owned (#732), woblink (#252)",to-read,,,,0,,,0,,,,,
50249797,Moja osoba. Eseje i przygody,Łukasz Najder,"Najder, Łukasz",,"=""""","=""9788380499829""",0,3.81,Wydawnictwo Czarne,Paperback,224,2020,2020,,2020/04/24,"owned, woblink, currently-reading","owned (#549), woblink (#219), currently-reading (#11)",currently-reading,,,,1,,,0,,,,,
35114711,Zobaczyć łosia. Historia polskiej edukacji seksualnej od pierwszej lekcji do internetu,Agnieszka Kościańska,"Kościańska, Agnieszka",,"=""""","=""9788380495265""",0,3.93,Wydawnictwo Czarne,Hardcover,424,2017,2017,,2021/01/15,"to-read, reportaże-biografie, women","to-read (#1691), reportaże-biografie (#14), women (#105)",to-read,,,,0,,,0,,,,,
